import time: self [us] | cumulative | imported package
import time:       554 |        554 |                 copy
import time:      1843 |       2397 |               dataclasses
import time:      1003 |       1003 |                       _socket
import time:       507 |        507 |                         select
import time:      1585 |       2092 |                       selectors
import time:       655 |        655 |                       array
import time:      4121 |       7869 |                     socket
import time:       417 |        417 |                       email
import time:      1549 |       1965 |                     email.errors
import time:      1758 |       1758 |                       http
import time:       805 |        805 |                               email.quoprimime
import time:       468 |        468 |                               email.base64mime
import time:       326 |        326 |                                   quopri
import time:       339 |        664 |                                 email.encoders
import time:       571 |       1235 |                               email.charset
import time:      3056 |       5562 |                             email.header
import time:       434 |        434 |                                   _bisect
import time:       544 |        978 |                                 bisect
import time:       385 |        385 |                                 _random
import time:       375 |        375 |                                 _sha2
import time:      2347 |       4083 |                               random
import time:      2347 |       2347 |                                 calendar
import time:      1259 |       3605 |                               email._parseaddr
import time:      1967 |       9654 |                             email.utils
import time:      1219 |      16434 |                           email._policybase
import time:      2188 |      18622 |                         email.feedparser
import time:       663 |      19284 |                       email.parser
import time:       953 |        953 |                         email._encoded_words
import time:       327 |        327 |                         email.iterators
import time:      1483 |       2762 |                       email.message
import time:      4113 |       4113 |                         _ssl
import time:      6157 |      10269 |                       ssl
import time:      3430 |      37502 |                     http.client
import time:      2401 |      49735 |                   urllib3.exceptions
import time:       739 |        739 |                           urllib3.util.timeout
import time:       785 |       1524 |                         urllib3.util.connection
import time:       244 |        244 |                           urllib3.util.util
import time:       190 |        190 |                           brotlicffi
import time:       154 |        154 |                           brotli
import time:       155 |        155 |                           backports
import time:      2011 |       2753 |                         urllib3.util.request
import time:       642 |        642 |                         urllib3.util.response
import time:      2139 |       2139 |                         urllib3.util.retry
import time:       636 |        636 |                           hmac
import time:     31168 |      31168 |                           urllib3.util.url
import time:      1000 |       1000 |                           urllib3.util.ssltransport
import time:      1594 |      34396 |                         urllib3.util.ssl_
import time:       465 |        465 |                         urllib3.util.wait
import time:      1630 |      43546 |                       urllib3.util
import time:        94 |      43639 |                     urllib3.util.connection
import time:      2384 |      46022 |                   urllib3._base_connection
import time:      2460 |       2460 |                   urllib3._collections
import time:       807 |        807 |                   urllib3._version
import time:       256 |        256 |                             _winapi
import time:       296 |        296 |                             winreg
import time:      1730 |       2281 |                           mimetypes
import time:       785 |       3066 |                         urllib3.fields
import time:       884 |       3949 |                       urllib3.filepost
import time:       374 |        374 |                         brotlicffi
import time:       303 |        303 |                         brotli
import time:       871 |        871 |                                 _csv
import time:      1457 |       2327 |                               csv
import time:       362 |        362 |                                   importlib._abc
import time:       505 |        867 |                                 importlib.util
import time:       525 |        525 |                                   zipfile._path.glob
import time:      1189 |       1714 |                                 zipfile._path
import time:      2805 |       5384 |                               zipfile
import time:       214 |        214 |                                   importlib.metadata._functools
import time:       563 |        776 |                                 importlib.metadata._text
import time:      1046 |       1822 |                               importlib.metadata._adapters
import time:      1264 |       1264 |                               importlib.metadata._meta
import time:      1013 |       1013 |                               importlib.metadata._collections
import time:       434 |        434 |                               importlib.metadata._itertools
import time:      1298 |       1298 |                                     tempfile
import time:       969 |        969 |                                     importlib.resources.abc
import time:       872 |        872 |                                     importlib.resources._adapters
import time:      1154 |       4292 |                                   importlib.resources._common
import time:       568 |        568 |                                   importlib.resources._legacy
import time:       531 |       5390 |                                 importlib.resources
import time:      1795 |       7185 |                               importlib.abc
import time:      4979 |      24404 |                             importlib.metadata
import time:       826 |      25230 |                           urllib3.http2
import time:       611 |        611 |                           urllib3.http2.probe
import time:       413 |        413 |                           urllib3.util.ssl_match_hostname
import time:      2576 |      28828 |                         urllib3.connection
import time:       227 |        227 |                         backports
import time:      2526 |      32256 |                       urllib3.response
import time:      1104 |      37308 |                     urllib3._request_methods
import time:       325 |        325 |                     urllib3.util.proxy
import time:      2454 |      40086 |                   urllib3.connectionpool
import time:      2645 |       2645 |                   urllib3.poolmanager
import time:      1984 |     143736 |                 urllib3
import time:       440 |        440 |                     chardet._utils
import time:       238 |        238 |                     chardet._version
import time:      1121 |       1121 |                       chardet.enums
import time:       515 |        515 |                         unicodedata
import time:      5207 |       5207 |                         chardet.pipeline
import time:      3772 |       3772 |                         chardet.registry
import time:       660 |        660 |                         encodings.iso8859_11
import time:      1956 |      12109 |                       chardet.equivalences
import time:       746 |        746 |                           0deeb2fec52624e647be__mypyc
import time:       777 |       1523 |                         chardet.models
import time:       398 |        398 |                         chardet.pipeline.ascii
import time:       253 |        253 |                         chardet.pipeline.binary
import time:       236 |        236 |                         chardet.pipeline.bom
import time:       433 |        433 |                         chardet.pipeline.confusion
import time:       328 |        328 |                         chardet.pipeline.escape
import time:      6884 |       6884 |                         chardet.pipeline.markup
import time:       469 |        469 |                         chardet.pipeline.statistical
import time:       313 |        313 |                         chardet.pipeline.structural
import time:       245 |        245 |                         chardet.pipeline.utf8
import time:       285 |        285 |                         chardet.pipeline.utf1632
import time:       231 |        231 |                         chardet.pipeline.validity
import time:      1890 |      13482 |                       chardet.pipeline.orchestrator
import time:       701 |      27412 |                     chardet.detector
import time:       245 |        245 |                     simplejson
import time:       453 |        453 |                           urllib.response
import time:       809 |       1262 |                         urllib.error
import time:      3902 |       5163 |                       urllib.request
import time:      8402 |      13565 |                     http.cookiejar
import time:      3202 |       3202 |                     http.cookies
import time:      1627 |      46724 |                   requests.compat
import time:      2218 |      48942 |                 requests.exceptions
import time:      2822 |       2822 |                       charset_normalizer.constant
import time:       514 |        514 |                         charset_normalizer.md__mypyc
import time:       493 |        493 |                           _multibytecodec
import time:      1039 |       1532 |                         charset_normalizer.utils
import time:      1525 |       3571 |                       charset_normalizer.md
import time:       870 |        870 |                       charset_normalizer.models
import time:      1330 |       8591 |                     charset_normalizer.cd
import time:       696 |       9287 |                   charset_normalizer.api
import time:       352 |        352 |                   charset_normalizer.legacy
import time:       191 |        191 |                   charset_normalizer.version
import time:       748 |      10577 |                 charset_normalizer
/home/devesh047/projects/Deep-Search-AI-assistant/venv/lib/python3.12/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.1.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
import time:      1407 |       1407 |                       idna.idnadata
import time:       477 |        477 |                       idna.intranges
import time:      1950 |       3833 |                     idna.core
import time:       293 |        293 |                     idna.package_data
import time:       616 |       4741 |                   idna
import time:      1049 |       5790 |                 requests.packages
import time:       543 |        543 |                       certifi.core
import time:       937 |       1479 |                     certifi
import time:       665 |       2144 |                   requests.certs
import time:      1011 |       1011 |                   requests.__version__
import time:      3230 |       3230 |                   requests._internal_utils
import time:      1744 |       1744 |                   requests.cookies
import time:       794 |        794 |                   requests.structures
import time:       220 |        220 |                       importlib.resources._itertools
import time:       876 |       1095 |                     importlib.resources.readers
import time:       421 |       1516 |                   importlib.readers
import time:      3627 |      14062 |                 requests.utils
import time:       669 |        669 |                       requests.auth
import time:       910 |        910 |                           stringprep
import time:       732 |       1641 |                         encodings.idna
import time:       331 |        331 |                         requests.hooks
import time:       966 |        966 |                         requests.status_codes
import time:      1637 |       4573 |                       requests.models
import time:       301 |        301 |                         urllib3.contrib
import time:       302 |        302 |                         socks
import time:      1462 |       2063 |                       urllib3.contrib.socks
import time:      1204 |       8508 |                     requests.adapters
import time:       955 |       9463 |                   requests.sessions
import time:       685 |      10147 |                 requests.api
import time:      1913 |     235163 |               requests
import time:       939 |        939 |                   tqdm._monitor
import time:       475 |        475 |                   tqdm._tqdm_pandas
import time:      1461 |       1461 |                       tqdm.utils
import time:      3255 |       4716 |                     tqdm.std
import time:      7405 |       7405 |                     tqdm.version
import time:      1977 |      14097 |                   tqdm.cli
import time:       857 |        857 |                   tqdm.gui
import time:      2327 |      18694 |                 tqdm
import time:       826 |        826 |                 tqdm.autonotebook
import time:      2042 |       2042 |                         signal
import time:       561 |        561 |                         fcntl
import time:       226 |        226 |                         msvcrt
import time:       399 |        399 |                         _posixsubprocess
import time:      2343 |       5569 |                       subprocess
import time:       646 |        646 |                       asyncio.constants
import time:       368 |        368 |                       asyncio.coroutines
import time:       381 |        381 |                         asyncio.format_helpers
import time:       328 |        328 |                           asyncio.base_futures
import time:       525 |        525 |                           asyncio.exceptions
import time:       358 |        358 |                           asyncio.base_tasks
import time:      1109 |       2319 |                         _asyncio
import time:      1563 |       4263 |                       asyncio.events
import time:       592 |        592 |                       asyncio.futures
import time:       452 |        452 |                       asyncio.protocols
import time:       760 |        760 |                         asyncio.transports
import time:       565 |        565 |                         asyncio.log
import time:      2172 |       3496 |                       asyncio.sslproto
import time:       283 |        283 |                           asyncio.mixins
import time:      1477 |       1760 |                         asyncio.locks
import time:      2207 |       2207 |                           asyncio.timeouts
import time:      1308 |       3515 |                         asyncio.tasks
import time:       929 |       6203 |                       asyncio.staggered
import time:       544 |        544 |                       asyncio.trsock
import time:      3613 |      25741 |                     asyncio.base_events
import time:       849 |        849 |                     asyncio.runners
import time:       737 |        737 |                     asyncio.queues
import time:       962 |        962 |                     asyncio.streams
import time:      2632 |       2632 |                     asyncio.subprocess
import time:       630 |        630 |                     asyncio.taskgroups
import time:       277 |        277 |                     asyncio.threads
import time:       911 |        911 |                       asyncio.base_subprocess
import time:      2608 |       2608 |                       asyncio.selector_events
import time:      2424 |       5942 |                     asyncio.unix_events
import time:      1594 |      39360 |                   asyncio
import time:       591 |      39950 |                 tqdm.asyncio
import time:      1514 |      60982 |               tqdm.auto
import time:       583 |        583 |                 tqdm.contrib
import time:      1534 |       2117 |               tqdm.contrib.concurrent
import time:      1599 |       1599 |               huggingface_hub.constants
import time:      2646 |       2646 |                 huggingface_hub.errors
import time:       601 |        601 |                     _uuid
import time:      1212 |       1813 |                   uuid
import time:      1484 |       1484 |                       huggingface_hub.utils.tqdm
import time:      5787 |       5787 |                         configparser
import time:     24545 |      24545 |                         huggingface_hub.utils._runtime
import time:      1331 |      31662 |                       huggingface_hub.utils._auth
import time:       541 |        541 |                       huggingface_hub.utils._cache_assets
import time:       385 |        385 |                           huggingface_hub.commands
import time:       805 |       1189 |                         huggingface_hub.commands._cli_utils
import time:       473 |        473 |                         huggingface_hub.utils.logging
import time:     14822 |      16483 |                       huggingface_hub.utils._cache_manager
import time:       598 |        598 |                       huggingface_hub.utils._chunk_utils
import time:       303 |        303 |                       huggingface_hub.utils._datetime
import time:       349 |        349 |                       huggingface_hub.utils._experimental
import time:       682 |        682 |                             filelock._error
import time:      4947 |       5629 |                           filelock._api
import time:      1982 |       1982 |                                   _sqlite3
import time:      1284 |       3265 |                                 sqlite3.dbapi2
import time:      1608 |       4873 |                               sqlite3
import time:      1403 |       6276 |                             filelock._read_write
import time:       869 |       7144 |                           filelock._async_read_write
import time:       366 |        366 |                             filelock._util
import time:      1163 |       1528 |                           filelock._soft
import time:       549 |        549 |                           filelock._unix
import time:       444 |        444 |                           filelock._windows
import time:      3251 |       3251 |                           filelock.asyncio
import time:       402 |        402 |                           filelock.version
import time:      1245 |      20188 |                         filelock
import time:       888 |      21075 |                       huggingface_hub.utils._fixes
import time:       841 |        841 |                         huggingface_hub.utils._subprocess
import time:      1089 |       1930 |                       huggingface_hub.utils._git_credential
import time:       284 |        284 |                         huggingface_hub.utils._deprecation
import time:       576 |        576 |                           huggingface_hub.utils._typing
import time:      1026 |       1601 |                         huggingface_hub.utils._validators
import time:      1144 |       3028 |                       huggingface_hub.utils._headers
import time:       461 |        461 |                       huggingface_hub.utils._hf_folder
import time:       744 |        744 |                         shlex
import time:       634 |        634 |                         huggingface_hub.utils._lfs
import time:      4496 |       5873 |                       huggingface_hub.utils._http
import time:       757 |        757 |                       huggingface_hub.utils._pagination
import time:       794 |        794 |                       huggingface_hub.utils._paths
import time:      4364 |       4364 |                       huggingface_hub.utils._safetensors
import time:       783 |        783 |                       huggingface_hub.utils._telemetry
import time:      5117 |       5117 |                       huggingface_hub.utils._xet
import time:      4634 |     100230 |                     huggingface_hub.utils
import time:      6375 |     106605 |                   huggingface_hub._local_folder
import time:       236 |        236 |                     huggingface_hub.utils.insecure_hashlib
import time:       577 |        813 |                   huggingface_hub.utils.sha
import time:      5137 |     114366 |                 huggingface_hub.file_download
import time:      2999 |       2999 |                 huggingface_hub.lfs
